,wind_speedMS,humidity,wind_speedBF,latitude,wind_direction_degrees,longitude,wind_direction,temperature,temperature_10cm,visibility_meters,sun_intensity,wind_blast,water_level,datetime,tide,water_level_belgium_border,water_flow,waves_height,water_drainage
126,,,,686621.816107,,5703051.662765,,,,,,,,2017-11-30T09:40:00Z,,,,,0.13
387,,,,684558.598341,,5703935.552472,,,,,,,,2017-11-13T11:30:00Z,,,,,16.35
166,,,,684101.515747,,5708353.968858,,,,,,,,2017-11-30T09:30:00Z,,,,,0.0
3,,,,686327.403796,,5708705.717448,,,,,,,,2017-11-30T09:30:00Z,,,,,0.2
291,,,,692668.906081,,5683786.395963,,,,,,,,2017-11-30T09:50:00Z,,,,,0.0
403,,,,691404.378528,,5689749.397756,,,,,,,,2017-11-30T09:50:00Z,,,,,1.6
287,,,,689061.33225,,5638791.854031,,,,,,,,2017-11-30T10:00:00Z,,,,,0.5
188,,,,670022.164259,,5699570.696335,,,,,,,,2017-11-30T09:00:00Z,,,,,0.54
163,,,,670055.815067,,5699690.479968,,,,,,,,2017-11-30T09:00:00Z,,,,,0.05
272,,,,596924.356201,,5727693.576083,,,,,,,,2017-11-30T10:00:00Z,,,,,1.64
44,,,,596872.087435,,5727761.881287,,,,,,,,2017-11-30T10:00:00Z,,,,,0.47
506,,,,708382.625118,,5836428.869423,,,,,,,,2017-11-30T09:50:00Z,,,,,0.0
460,,,,708372.462588,,5836433.559056,,,,,,,,2017-11-30T09:50:00Z,,,,,0.0
457,,,,708362.304833,,5836438.137517,,,,,,,,2017-11-30T09:50:00Z,,,,,0.0
71,,,,585894.447697,,5694263.77376,,,,,,,,2017-11-30T10:00:00Z,,,,,0.0
453,,,,560035.078677,,5710453.197915,,,,,,,,2017-11-30T10:00:00Z,,,,,0.0
