,wind_speedMS,humidity,wind_speedBF,latitude,wind_direction_degrees,longitude,wind_direction,temperature,temperature_10cm,visibility_meters,sun_intensity,wind_blast,water_level,datetime,tide,water_level_belgium_border,water_flow,waves_height,water_drainage
268,,,,581085.288038,,5692456.472705,,,,,,,184.0,2017-11-30T10:00:00Z,,,,,
530,,,,654720.682813,,5742862.173264,,,,,,,313.0,2017-11-30T10:00:00Z,,,,,
312,,,,612028.611787,,5750170.820423,,,,,,,55.0,2017-11-30T10:00:00Z,,,,,
441,,,,624112.288321,,5878437.182946,,,,,,,-33.0,2017-11-30T10:00:00Z,,,,,
378,,,,680972.087153,,5753241.864733,,,,,,,706.0,2017-11-30T10:00:00Z,,,,,
134,,,,677977.50412,,5758577.555598,,,,,,,634.0,2017-11-30T10:00:00Z,,,,,
266,,,,712485.362427,,5922496.962185,,,,,,,-18.0,2017-11-30T10:00:00Z,,,,,
451,,,,662725.626721,,5728476.608259,,,,,,,470.0,2017-11-30T10:00:00Z,,,,,
297,,,,739970.574865,,5788881.273973,,,,,,,1006.0,2017-11-30T10:00:00Z,,,,,7.64
544,,,,686097.400031,,5680454.215454,,,,,,,3565.0,2017-11-30T10:00:00Z,,,,,
198,,,,689894.76154,,5634222.450172,,,,,,,4427.0,2017-11-30T10:00:00Z,,4660.0,,,591.97
394,,,,557114.37845,,5687543.339031,,,,,,,226.0,2017-11-30T10:00:00Z,,,,,
94,,,,578158.588668,,5741741.00251,,,,,,,72.0,2017-11-30T10:00:00Z,,,,,
494,,,,709112.91107,,5679696.729673,,,,,,,1491.0,2017-11-30T10:00:00Z,,,,,
269,,,,689073.252191,,5626524.995298,,,,,,,4579.0,2017-11-30T09:00:00Z,,,,,
33,,,,689732.807648,,5624966.516572,,,,,,,5193.0,2017-11-30T09:00:00Z,,,,,
277,,,,691684.46646,,5645090.205545,,,,,,,3780.0,2017-11-30T09:50:00Z,,4013.0,,,
193,,,,586551.020315,,5772806.492926,,,,,,,73.0,2017-11-30T10:00:00Z,,,,,
318,,,,691227.71,,5920843.208887,,,,,,,6.0,2017-11-30T10:00:00Z,,,,,
26,,,,547224.950585,,5718947.123692,,,,,,,166.0,2017-11-30T10:00:00Z,,,,,
145,,,,720813.548214,,5783644.284247,,,,,,,513.0,2017-11-30T10:00:00Z,,,,,
106,,,,721447.11767,,5783825.281439,,,,,,,999.0,2017-11-30T10:00:00Z,,,,,
29,,,,585869.858693,,5752617.798259,,,,,,,85.0,2017-11-30T10:00:00Z,,,,,
353,,,,692466.626442,,5833109.039747,,,,,,,-2.0,2017-11-30T10:00:00Z,,,,,
256,,,,639430.974074,,5907184.533288,,,,,,,-49.0,2017-11-30T10:00:00Z,,,,,
171,,,,571389.15617,,5694632.643252,,,,,,,199.0,2017-11-30T10:00:00Z,,,,,
199,,,,556607.80335,,5687689.631979,,,,,,,227.0,2017-11-30T10:00:00Z,,,,,
43,,,,556380.6258,,5675741.83928,,,,,,,216.0,2017-11-30T10:00:00Z,,,,,
167,,,,586153.416771,,5695329.346307,,,,,,,187.0,2017-11-30T10:00:00Z,,,,,
128,,,,552708.483305,,5695847.452714,,,,,,,222.0,2017-11-30T10:00:00Z,,,,,
402,,,,558209.898343,,5682908.413196,,,,,,,219.0,2017-11-30T10:00:00Z,,,,,
339,,,,630857.844577,,5731615.740971,,,,,,,78.0,2017-11-30T10:00:00Z,,,,,
300,,,,646714.241153,,5733775.471146,,,,,,,112.0,2017-11-30T10:00:00Z,,,,,
135,,,,609559.811683,,5814278.949935,,,,,,,-42.0,2017-11-30T10:00:00Z,,,,,
289,,,,704307.691088,,5731476.655284,,,,,,,850.0,2017-11-30T10:00:00Z,,,,,
346,,,,642605.985795,,5860298.308032,,,,,,,-7.0,2017-11-30T10:00:00Z,,,,10.0,
274,,,,627249.500532,,5756317.52901,,,,,,,62.0,2017-11-30T10:00:00Z,,,,,
335,,,,617197.18179,,5886477.149363,,,,,,,-51.0,2017-11-30T10:00:00Z,,,,,
362,,,,576742.071009,,5691085.791138,,,,,,,193.0,2017-11-30T10:00:00Z,,,,,
182,,,,591891.278025,,5746546.953281,,,,,,,73.0,2017-11-30T10:00:00Z,,,,,
456,,,,668815.969155,,5753095.673817,,,,,,,357.0,2017-11-30T10:00:00Z,,,,,
275,,,,657488.747442,,5760655.260684,,,,,,,-37.0,2017-11-30T10:00:00Z,,,,,34.03
260,,,,556245.98136,,5733151.197758,,,,,,,152.0,2017-11-30T10:00:00Z,,,,,
186,,,,717897.611234,,5823514.052136,,,,,,,41.0,2017-11-30T10:00:00Z,,,,,
63,,,,669207.549761,,5724760.420313,,,,,,,850.0,2017-11-30T10:00:00Z,,,,,
458,,,,584169.539965,,5694953.046236,,,,,,,179.0,2017-11-30T09:50:00Z,,,,18.0,
157,,,,668974.020934,,5724806.480874,,,,,,,466.0,2017-11-30T10:00:00Z,,,,,
359,,,,669044.774554,,5724751.185701,,,,,,,849.0,2017-11-30T10:00:00Z,,,,,
127,,,,541518.74592,,5699254.96426,,,,,,,214.0,2017-11-30T10:00:00Z,,,,,
439,,,,560102.885493,,5710490.371879,,,,,,,130.0,2017-11-30T10:00:00Z,,,,,
377,,,,687095.300245,,5705012.45077,,,,,,,2059.0,2017-11-30T10:00:00Z,,,,,
462,,,,580601.223919,,5707619.048603,,,,,,,115.0,2017-11-30T10:00:00Z,,,,,
427,,,,548589.163583,,5707494.176378,,,,,,,-30.0,2017-11-30T10:00:00Z,,,,,
414,,,,691419.471644,,5689746.845761,,,,,,,2867.0,2017-11-30T09:50:00Z,,,,,
550,,,,609009.433796,,5814225.742434,,,,,,,21.0,2017-11-30T10:00:00Z,,,,,
156,,,,679052.96581,,5831566.005578,,,,,,,-5.0,2017-11-30T10:00:00Z,,,,,
141,,,,669341.123356,,5742692.269912,,,,,,,492.0,2017-11-30T10:00:00Z,,,,,
78,,,,713748.841039,,5748948.952085,,,,,,,1091.0,2017-11-30T10:00:00Z,,,,,3364.48
89,,,,668689.519597,,5793042.091538,,,,,,,-27.0,2017-11-30T10:00:00Z,,,,,
108,,,,665657.636316,,5761130.558628,,,,,,,557.0,2017-11-30T10:00:00Z,,,,,
75,,,,691537.055801,,5642947.254519,,,,,,,4395.0,2017-11-30T10:00:00Z,,,,,28.68
482,,,,715231.230155,,5793662.505601,,,,,,,387.0,2017-11-30T10:00:00Z,,,,,
285,,,,761913.320818,,5915831.926022,,,,,,,74.0,2017-11-30T10:00:00Z,,,,,
36,,,,691409.923843,,5815602.364983,,,,,,,-25.0,2017-11-30T10:00:00Z,,,,,
263,,,,754251.664252,,5928910.13725,,,,,,,14.0,2017-11-30T10:00:00Z,,,,,
375,,,,679287.928377,,5717072.851787,,,,,,,1285.0,2017-11-30T10:00:00Z,,,,,
488,,,,615152.318602,,5742285.577188,,,,,,,63.0,2017-11-30T10:00:00Z,,,,,
374,,,,679172.515728,,5717217.50165,,,,,,,1065.0,2017-11-30T10:00:00Z,,,,,
512,,,,682480.340777,,5713083.183476,,,,,,,1505.0,2017-11-30T10:00:00Z,,,,,
423,,,,682427.250315,,5713146.29078,,,,,,,1284.0,2017-11-30T09:10:00Z,,,,,
557,,,,559821.959473,,5710640.211067,,,,,,,-29.0,2017-11-30T10:00:00Z,,,,,
473,,,,544570.753715,,5714696.712456,,,,,,,-32.0,2017-11-30T10:00:00Z,,,,,
183,,,,691326.591753,,5690204.083605,,,,,,,2704.0,2017-11-30T09:50:00Z,,,,,
270,,,,691347.958981,,5690061.925782,,,,,,,2867.0,2017-11-30T09:50:00Z,,,,,
131,,,,617120.700587,,5869664.281452,,,,,,,-35.0,2017-11-30T10:00:00Z,,,,,
483,,,,626668.330142,,5723464.054377,,,,,,,5.0,2017-11-30T10:00:00Z,,,,,
259,,,,692058.904218,,5650900.005767,,,,,,,3233.0,2017-11-30T09:50:00Z,,3466.0,,,
30,,,,694045.325671,,5654179.313696,,,,,,,3043.0,2017-11-30T09:50:00Z,,3276.0,,,
323,,,,693507.397889,,5656791.062311,,,,,,,2900.0,2017-11-30T09:50:00Z,,3133.0,,,
147,,,,626849.923647,,5723496.316795,,,,,,,72.0,2017-11-30T10:00:00Z,,,,,
160,,,,686975.412981,,5705401.834507,,,,,,,1564.0,2017-11-30T10:00:00Z,,,,,
184,,,,583254.246766,,5715602.95849,,,,,,,5.0,2017-11-30T10:00:00Z,,,,,
58,,,,691900.032712,,5683736.805137,,,,,,,3173.0,2017-11-30T10:00:00Z,,,,,
467,,,,691802.009188,,5683736.026078,,,,,,,3360.0,2017-11-30T10:00:00Z,,,,,
115,,,,688436.415146,,5639314.512678,,,,,,,4042.0,2017-11-30T10:00:00Z,,,,,16.67
192,,,,632645.127609,,5804844.296719,,,,,,,-38.0,2017-11-30T10:00:00Z,,,,,
431,,,,637499.067706,,5798364.141136,,,,,,,-39.0,2017-11-30T10:00:00Z,,,,,60.0
381,,,,637883.685853,,5718135.860859,,,,,,,522.0,2017-11-30T10:00:00Z,,,,,
314,,,,753602.882692,,5931845.617038,,,,,,,9.0,2017-11-30T09:50:00Z,,,,37.0,
372,,,,575133.543448,,5757544.118373,,,,,,,106.0,2017-11-30T10:00:00Z,,,,,
103,,,,703466.009327,,5761861.594699,,,,,,,915.0,2017-11-30T10:00:00Z,,,,,
295,,,,699646.985298,,5673334.451039,,,,,,,2874.0,2017-11-30T10:00:00Z,,,,,
158,,,,665014.027922,,5823091.364619,,,,,,,-5.0,2017-11-30T10:00:00Z,,,,,
294,,,,664935.650384,,5822012.241694,,,,,,,-28.0,2017-11-30T10:00:00Z,,,,,
61,,,,685648.879015,,5708759.267033,,,,,,,1509.0,2017-11-30T10:00:00Z,,,,,
317,,,,518884.956436,,5760829.355416,,,,,,,106.0,2017-11-30T10:00:00Z,,,,,
169,,,,605632.956828,,5813598.089451,,,,,,,21.0,2017-11-30T10:00:00Z,,,,,
528,,,,703006.482726,,5759763.602147,,,,,,,950.0,2017-11-30T10:00:00Z,,,,,
92,,,,654310.047871,,5840559.420062,,,,,,,0.0,2017-11-30T10:00:00Z,,,,,
280,,,,654164.469546,,5840393.496391,,,,,,,-31.0,2017-11-30T10:00:00Z,,,,,
333,,,,608561.16757,,5752923.125046,,,,,,,53.0,2017-11-30T10:00:00Z,,,,,
101,,,,661156.301158,,5894527.946154,,,,,,,-15.0,2017-11-30T10:00:00Z,,,,,
552,,,,698329.557942,,5826410.539437,,,,,,,8.0,2017-11-30T10:00:00Z,,,,,
449,,,,560002.850035,,5710674.158094,,,,,,,127.0,2017-11-30T10:00:00Z,,,,,
330,,,,686891.673179,,5829056.903491,,,,,,,-4.0,2017-11-30T10:00:00Z,,,,,
404,,,,656615.548766,,5882512.857226,,,,,,,-6.0,2017-11-30T10:00:00Z,,,,,
410,,,,705788.247439,,5671745.072393,,,,,,,1799.0,2017-11-30T10:00:00Z,,,,,
520,,,,667699.101552,,5742683.928092,,,,,,,201.0,2017-11-30T10:00:00Z,,,,,
432,,,,546063.014918,,5752991.391662,,,,,,,120.0,2017-11-30T10:00:00Z,,,,,
367,,,,682542.589561,,5858127.832702,,,,,,,-5.0,2017-11-30T10:00:00Z,,,,,
485,,,,600028.51004,,5743160.046169,,,,,,,64.0,2017-11-30T10:00:00Z,,,,,
124,,,,579315.78417,,5756869.314541,,,,,,,102.0,2017-11-30T10:00:00Z,,,,15.0,
155,,,,579684.940372,,5757231.169463,,,,,,,102.0,2017-11-30T10:00:00Z,,,,19.0,
505,,,,618038.127539,,5763166.286328,,,,,,,50.0,2017-11-30T10:00:00Z,,,,,
178,,,,612115.212896,,5729455.430142,,,,,,,68.0,2017-11-30T10:00:00Z,,,,,
548,,,,710171.351377,,5828276.627263,,,,,,,2.0,2017-11-30T10:00:00Z,,,,,
161,,,,696323.704869,,5748468.590684,,,,,,,862.0,2017-11-30T10:00:00Z,,,,,
153,,,,668611.166073,,5793006.01785,,,,,,,-32.0,2017-11-30T10:00:00Z,,,,,
159,,,,637644.237425,,5866478.622521,,,,,,,-10.0,2017-11-30T10:00:00Z,,,,,
498,,,,546744.726668,,5730119.150865,,,,,,,159.0,2017-11-30T10:00:00Z,,,,,
405,,,,646404.276072,,5762449.241055,,,,,,,131.0,2017-11-30T10:00:00Z,,,,,
45,,,,569316.554583,,5699858.828033,,,,,,,215.0,2017-11-30T09:50:00Z,,,,15.0,
65,,,,689753.066717,,5697307.24277,,,,,,,2505.0,2017-11-30T10:00:00Z,,,,,
470,,,,689652.553076,,5697401.033128,,,,,,,2261.0,2017-11-30T10:00:00Z,,,,,
502,,,,590321.143,,5749819.654576,,,,,,,77.0,2017-11-30T10:00:00Z,,,,,
25,,,,547230.972543,,5718947.291124,,,,,,,167.0,2017-11-30T09:50:00Z,,,,2.0,
558,,,,665152.504311,,5760973.893438,,,,,,,399.0,2017-11-30T10:00:00Z,,,,,
386,,,,585554.805943,,5697809.870896,,,,,,,8.0,2017-11-30T10:00:00Z,,,,,
301,,,,716920.089955,,5689851.325118,,,,,,,1392.0,2017-11-30T10:00:00Z,,,,,
173,,,,717185.662502,,5691754.534661,,,,,,,1301.0,2017-11-30T10:00:00Z,,,,,
411,,,,689365.319848,,5639150.484211,,,,,,,4041.0,2017-11-30T10:00:00Z,,4274.0,,,617.31
133,,,,617115.285091,,5810626.046956,,,,,,,-37.0,2017-11-30T10:00:00Z,,,,,
306,,,,689921.494977,,5638750.211291,,,,,,,4402.0,2017-11-30T10:00:00Z,,,,,
523,,,,592852.349052,,5750773.296747,,,,,,,73.0,2017-11-30T10:00:00Z,,,,,
370,,,,644981.501326,,5766893.93481,,,,,,,-36.0,2017-11-30T10:00:00Z,,,,,-16.42
304,,,,569683.338543,,5716519.094414,,,,,,,130.0,2017-11-30T10:00:00Z,,,,,
533,,,,705544.98611,,5725784.891428,,,,,,,908.0,2017-11-30T10:00:00Z,,,,,
191,,,,668937.952337,,5752825.488674,,,,,,,574.0,2017-11-30T10:00:00Z,,,,,2036.57
553,,,,719860.008588,,5695442.050365,,,,,,,1279.0,2017-11-30T10:00:00Z,,,,,708.27
337,,,,603140.057608,,5753205.340753,,,,,,,58.0,2017-11-30T10:00:00Z,,,,,
428,,,,708345.535318,,5676349.211151,,,,,,,1684.0,2017-11-30T10:00:00Z,,,,,
139,,,,638000.557072,,5718048.684347,,,,,,,781.0,2017-11-30T10:00:00Z,,,,,
352,,,,676620.327034,,5744906.864985,,,,,,,517.0,2017-11-30T10:00:00Z,,,,,753.73
15,,,,711556.219876,,5803627.644558,,,,,,,283.0,2017-11-30T10:00:00Z,,,,,474.82
130,,,,709275.330184,,5750889.286493,,,,,,,1047.0,2017-11-30T10:00:00Z,,,,,
125,,,,651339.912523,,5822566.220329,,,,,,,-27.0,2017-11-30T10:00:00Z,,,,29.0,
509,,,,696163.233538,,5664104.199934,,,,,,,2420.0,2017-11-30T09:50:00Z,,2658.0,,,701.75
152,,,,557010.963541,,5733398.274746,,,,,,,153.0,2017-11-30T10:00:00Z,,,,,
426,,,,672717.142705,,5847343.709957,,,,,,,-5.0,2017-11-30T10:00:00Z,,,,29.0,
129,,,,649545.774262,,5864821.801182,,,,,,,-8.0,2017-11-30T10:00:00Z,,,,16.0,
52,,,,641030.849507,,5716527.469643,,,,,,,1262.0,2017-11-30T10:00:00Z,,,,,
364,,,,684146.384861,,5711061.477341,,,,,,,1507.0,2017-11-30T10:00:00Z,,,,,
149,,,,684090.960069,,5711132.278091,,,,,,,1317.0,2017-11-30T10:00:00Z,,,,,
38,,,,710122.268321,,5767364.157718,,,,,,,807.0,2017-11-30T10:00:00Z,,,,,
444,,,,588452.513701,,5740189.622964,,,,,,,65.0,2017-11-30T09:50:00Z,,,,,
360,,,,699492.438257,,5665530.988163,,,,,,,3281.0,2017-11-30T10:00:00Z,,,,,
501,,,,567273.844973,,5732426.582107,,,,,,,-18.0,2017-11-30T10:00:00Z,,,,,
526,,,,538128.059912,,5694617.614235,,,,,,,-93.0,2017-11-24T08:30:00Z,,,,,
450,,,,557117.322736,,5733358.658548,,,,,,,-17.0,2017-11-30T10:00:00Z,,,,,
471,,,,645769.225026,,5799459.576915,,,,,,,-35.0,2017-11-30T10:00:00Z,,,,,
276,,,,709609.469161,,5683075.676797,,,,,,,1470.0,2017-11-30T10:00:00Z,,,,,
380,,,,589642.774011,,5683578.080008,,,,,,,171.0,2017-11-30T09:50:00Z,,387.0,,,
197,,,,586211.535558,,5689294.499172,,,,,,,167.0,2017-11-30T09:50:00Z,,386.0,,,
16,,,,653223.417218,,5707510.819692,,,,,,,1504.0,2017-11-30T10:00:00Z,,,,,
344,,,,655016.251709,,5922412.475807,,,,,,,-63.0,2017-11-30T10:00:00Z,,,,,
262,,,,658939.322141,,5791920.145257,,,,,,,-32.0,2017-11-30T10:00:00Z,,,0.009,,9.0
412,,,,656955.58668,,5733855.159852,,,,,,,223.0,2017-11-30T09:50:00Z,,,,,23.07
560,,,,623889.736008,,5738174.308587,,,,,,,105.0,2017-11-30T10:00:00Z,,,,,
401,,,,702209.986878,,5690100.638267,,,,,,,3161.0,2017-11-30T09:50:00Z,,,,,1.38
436,,,,702228.5377,,5690141.348323,,,,,,,3122.0,2017-11-30T09:50:00Z,,,,,
350,,,,625679.499691,,5736104.496295,,,,,,,79.0,2017-11-30T10:00:00Z,,,,,
440,,,,687841.447598,,5699509.896778,,,,,,,2268.0,2017-11-30T10:00:00Z,,,,,
80,,,,687811.199433,,5699650.511385,,,,,,,2069.0,2017-11-30T10:00:00Z,,,,,
