,id,index,longitude,wind_direction,latitude,humidity,temperature_10cm,wind_direction_degrees,temperature,wind_blast,wind_speedMS,visibility_meters,wind_speedBF,sun_intensity,datetime,water_flow,waves_height,water_drainage,water_level,water_level_belgium_border,tide
135,136,195,3.686357829271477,,51.61910840136175,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,117.0
136,137,194,3.682064662323814,,51.61959430007234,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,174.0
137,138,164,3.4810545087225147,,51.64286974552314,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,174.0
138,139,200,3.6759177441507322,,51.72154362655381,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,168.0
139,140,204,3.617124188295991,,51.76762629102121,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,155.0
140,141,170,3.376274522561477,,51.379298041345294,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,206.0
141,142,159,3.242164444644847,,51.50372055511169,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,184.0
142,143,132,5.809703823663677,,51.965753994452776,,,,,,,,,,2017-12-06T14:40:00Z,,,420.8,760.0,,
143,144,133,5.80275481772339,,51.963324994261804,,,,,,,,,,2017-12-06T14:40:00Z,,,,719.0,,
144,145,402,5.214750402722075,,51.96016999005777,,,,,,,,,,2017-12-06T14:40:00Z,,,,307.0,,
145,146,130,6.13048913606278,,52.01953200962684,,,,,,,,,,2017-12-06T14:40:00Z,,,,669.0,,
146,147,465,5.68361079675448,,50.758219988001194,,,,,,,,,,2017-12-06T14:40:00Z,,,265.38,4478.0,4711.0,
147,148,168,3.379060002111672,,51.37988999810108,,,,,,,,,,2017-12-06T14:30:00Z,,56.0,,240.0,,
148,149,61,5.075190314930045,,52.5190799915348,,,,,,,,,,2017-12-06T14:40:00Z,,,,-26.0,,
149,150,263,3.997518038437576,,51.44576999739292,,,,,,,,,,2017-12-06T14:30:00Z,,25.0,,231.0,,
150,151,493,5.917853989265967,,51.17444299480304,,,,,,,,,,2017-12-06T14:40:00Z,,,,2087.0,,
151,152,494,5.919221990478938,,51.176485994860684,,,,,,,,,,2017-12-06T14:40:00Z,,,,1446.0,,
152,153,154,5.719940759580808,,51.775669991794445,,,,,,,,,,2017-12-06T14:40:00Z,,,,511.0,,
153,154,339,4.119824051897235,,51.97753699705294,,,,,,,,,,2017-12-06T14:40:00Z,,,,105.0,,
154,155,376,4.836156233253031,,51.76917499255433,,,,,,,,,,2017-12-06T14:40:00Z,,,,51.0,,
155,156,383,4.839750237258958,,51.64299999242881,,,,,,,,,,2017-12-06T14:30:00Z,,,,517.0,,
156,157,384,4.839382237094771,,51.64404999243531,,,,,,,,,,2017-12-06T14:30:00Z,,,,517.0,,
157,158,134,5.9123209170050615,,51.975239997829796,,,,,,,,,,2017-12-06T14:40:00Z,,,420.8,826.0,,
158,159,53,5.431172506709656,,52.523216990834435,,,,,,,,,,2017-12-06T14:40:00Z,,,,-29.0,,
159,160,32,4.517361123624395,,52.46373599523337,,,,,,,,,,2017-12-06T14:30:00Z,,191.0,,-23.0,,
160,161,469,5.696712803677759,,50.82863798838809,,,,,,,,,,2017-12-06T14:40:00Z,,,,4412.0,,
161,162,209,4.006012038915589,,51.59540599737687,,,,,,,,,,2017-12-06T14:40:00Z,,,,107.0,,
162,163,223,4.1422800566629885,,51.65921999693689,,,,,,,,,,2017-12-06T14:40:00Z,,,,100.0,,
163,164,140,5.961860968477442,,51.93324999969745,,,,,,,,,,2017-12-06T14:40:00Z,,,,878.0,,
164,165,105,5.7583907373586385,,52.579389995155736,,,,,,,,,,2017-12-06T14:40:00Z,,,,-14.0,,
165,166,425,5.358111497622216,,51.70027698913275,,,,,,,,,,2017-12-06T14:40:00Z,,,,196.0,,
166,167,432,5.669381751912937,,51.245946989369486,,,,,,,,,,2017-12-06T14:40:00Z,,,,3358.0,,
167,168,426,5.359194498444349,,51.69711098912224,,,,,,,,,,2017-12-06T14:40:00Z,,,,474.0,,
168,169,421,5.332889480101222,,51.74008298926299,,,,,,,,,,2017-12-06T14:40:00Z,,,,90.0,,
169,170,422,5.333972480841593,,51.738526989256705,,,,,,,,,,2017-12-06T14:40:00Z,,,,196.0,,
170,171,548,6.203671067737897,,53.46886002234092,,,,,,,,,,2017-12-06T14:30:00Z,,11.0,,12.0,,
171,172,66,5.0440912897489065,,52.93351099216428,,,,,,,,,,2017-12-06T14:40:00Z,,,,-36.0,,
172,173,185,3.8647800248320996,,51.54200499769702,,,,,,,,,,2017-12-06T14:40:00Z,,,,-30.0,,
173,174,20,5.334987426746759,,53.07156999162948,,,,,,,,,,2017-12-06T14:40:00Z,,,,-20.0,,
174,175,338,4.1198810518976225,,51.97757399704737,,,,,,,,,,2017-12-06T14:40:00Z,,,,105.0,,
175,176,261,4.2258430712495,,51.46305399657462,,,,,,,,,,2017-12-06T14:40:00Z,,,,8.0,,
176,177,380,4.877110248411577,,51.80563999224966,,,,,,,,,,2017-12-06T14:40:00Z,,,,62.0,,
177,178,221,4.109600052196136,,51.603599997056946,,,,,,,,,,2017-12-06T14:40:00Z,,,,89.0,,
178,179,110,6.126918095567515,,52.38700001113574,,,,,,,,,,2017-12-06T14:40:00Z,,,,202.0,,
179,180,151,6.004281038098478,,51.63269000037972,,,,,,,,,,2017-12-06T14:40:00Z,,,,1109.0,,
180,181,90,6.0323309764731095,,52.6330300061775,,,,,,,,,,2017-12-06T14:40:00Z,,,58.27,-7.0,,
181,182,396,5.136356360428712,,51.98990299052365,,,,,,,,,,2017-12-06T14:40:00Z,,,406.87,296.0,,
182,183,485,5.841663916862114,,51.13088999226789,,,,,,,,,,2017-12-06T14:40:00Z,,,,2118.0,2351.0,
183,184,167,3.440860003285464,,51.52249999808677,,,,,,,,,,2017-12-06T14:40:00Z,,,,229.0,,
184,185,509,5.219420356520048,,53.36277999209012,,,,,,,,,,2017-12-06T14:40:00Z,,,,-42.0,,
185,186,245,4.165060061632735,,51.37755999681876,,,,,,,,,,2017-12-06T14:40:00Z,,,,144.0,,
186,187,499,5.244645424723727,,51.81515398969904,,,,,,,,,,2017-12-06T14:40:00Z,,,,266.0,,
187,188,551,6.19695306693279,,53.40868702146602,,,,,,,,,,2017-12-06T14:40:00Z,,,,-1.0,,
188,189,423,5.353944495704844,,51.68364498910851,,,,,,,,,,2017-12-06T14:40:00Z,,,,472.0,,
